analyte,input_mode,outer_fold,patch_id,concentration_order,actual_concentration,prediction_raw,prediction_reported,absolute_error,central_area_fraction,central_attention_fraction,central_attention_enrichment,positive_central_attention_fraction,center_occlusion_change,outer_occlusion_change,center_occlusion_change_per_10pct_area,outer_occlusion_change_per_10pct_area,prediction_reproduction_difference
glucose,roi_masked,1,glucose_04_c0.1_wD02,4,0.1,-0.25567249053801167,0.0,0.1,0.2709418402777778,0.7773973345756531,2.8692406229272,0.0,4.9717884326390465,0.09351142665128354,1.8350020903164377,0.012826332906953848,5.551115123125783e-17
glucose,roi_masked,1,glucose_04_c0.1_wD03,4,0.1,0.4668658191521642,0.4668658191521642,0.3668658191521642,0.2718098958333333,0.7928674221038818,2.9169924798839824,0.0,4.2633260694133,0.11945791211344492,1.5684955311661868,0.01640477004973191,0.0
glucose,roi_masked,1,glucose_04_c0.1_wE02,4,0.1,0.06599648091242916,0.0659964809124291,0.034003519087570905,0.2744140625,0.7766090035438538,2.830062703305716,0.0,4.624687099646173,0.06764497132106229,1.6852952277714168,0.009322806276280994,5.551115123125783e-17
glucose,roi_masked,1,glucose_04_c0.1_wE03,4,0.1,-0.03151286889702831,0.0,0.1,0.2713758680555556,0.7689129710197449,2.8333874213986276,0.0,4.730195281970931,0.08282043623995783,1.7430419719569812,0.011366688613364876,1.3877787807814457e-17
glucose,roi_masked,1,glucose_04_c0.1_wE08,4,0.1,0.3913492273911965,0.3913492273911965,0.2913492273911965,0.2661675347222222,0.7652994394302368,2.8752546407619497,0.0,4.299792187236871,0.10158929389887206,1.6154457724245825,0.013843663057400635,0.0
glucose,roi_masked,1,glucose_04_c0.1_wE10,4,0.1,0.062338188115168336,0.0623381881151683,0.037661811884831704,0.2674696180555556,0.773243248462677,2.890957313522122,0.0,4.633567507862359,0.14988409416485027,1.732371527483144,0.02046114370942468,3.469446951953614e-17
glucose,roi_masked,1,glucose_04_c0.1_wE11,4,0.1,0.07496065200924473,0.0749606520092447,0.0250393479907553,0.2687717013888889,0.775110125541687,2.8838978268034667,0.0,4.629488409862648,0.12220003907194954,1.7224612509202328,0.01671161240669368,2.7755575615628914e-17
glucose,roi_masked,1,glucose_04_c0.1_wF01,4,0.1,0.33174827972958987,0.3317482797295898,0.2317482797295898,0.2661675347222222,0.755721390247345,2.8392696015163192,0.0,4.361573259214042,0.10435889388774289,1.6386571201352065,0.014221078900923237,5.551115123125783e-17
glucose,roi_masked,1,glucose_04_c0.1_wF12,4,0.1,0.026534458989337928,0.0265344589893379,0.0734655410106621,0.2674696180555556,0.7616214752197266,2.847506497210953,0.0,4.6470249876386465,0.14349163760629224,1.7374029324980838,0.01958848958938808,2.7755575615628914e-17
glucose,roi_masked,1,glucose_04_c0.1_wG06,4,0.1,0.21183128929711614,0.2118312892971161,0.11183128929711608,0.2722439236111111,0.8038718700408936,2.9527633137891094,0.0,4.531873821425091,0.135564672945792,1.6646372713532738,0.0186277624253529,5.551115123125783e-17
glucose,roi_masked,1,glucose_04_c0.1_wG09,4,0.1,0.04085029676965224,0.0408502967696522,0.05914970323034781,0.2722439236111111,0.8022477030754089,2.94679746175487,0.0,4.703948758168976,0.12532001973796358,1.7278434338495532,0.01722005817660761,4.163336342344337e-17
glucose,roi_masked,1,glucose_04_c0.1_wG11,4,0.1,0.06771095727126752,0.0677109572712675,0.03228904272873251,0.2679036458333333,0.7843419313430786,2.927701595487166,0.0,4.653840787668765,0.10863393630874807,1.737132308592764,0.014838748436659586,2.7755575615628914e-17
glucose,roi_masked,1,glucose_04_c0.1_wG12,4,0.1,0.00020852718022545957,0.0002085271802254,0.0997914728197746,0.2722439236111111,0.7709212899208069,2.8317300151096676,0.0,4.709479472364694,0.11866676847084978,1.7298749628263461,0.016305843718910865,5.957690937807847e-17
glucose,roi_masked,1,glucose_04_c0.1_wH05,4,0.1,0.26127079916171514,0.2612707991617151,0.16127079916171508,0.2670355902777778,0.7959596514701843,2.980724968691271,0.0,4.4720425009567615,0.12132169841992901,1.6746990527760062,0.01655219500574487,5.551115123125783e-17
glucose,roi_masked,1,glucose_05_c0.5_wA06,5,0.5,-0.04864568768960087,0.0,0.5,0.2696397569444444,0.7577577829360962,2.8102598501163234,0.0,4.720422323772708,0.13641792952660747,1.750640327399971,0.01867817023499056,6.938893903907228e-17
glucose,roi_masked,1,glucose_05_c0.5_wA11,5,0.5,0.16049813113650302,0.160498131136503,0.339501868863497,0.2674696180555556,0.7758286595344543,2.9006234995008238,0.0,4.534850141036478,0.09580283664782652,1.6954636470503928,0.013078343098005766,2.7755575615628914e-17
glucose,roi_masked,1,glucose_05_c0.5_wA12,5,0.5,0.32092948000307864,0.3209294800030786,0.17907051999692142,0.2657335069444444,0.773265540599823,2.9099286329799794,0.0,4.372292568745439,0.09924054888243283,1.6453674280750499,0.013515603642685106,5.551115123125783e-17
glucose,roi_masked,1,glucose_05_c0.5_wC01,5,0.5,0.4666336919535574,0.4666336919535574,0.03336630804644258,0.2661675347222222,0.7619627118110657,2.862718447635867,0.0,4.251111171906315,0.10606381440993218,1.59715615818543,0.014453409930532827,0.0
glucose,roi_masked,1,glucose_05_c0.5_wC03,5,0.5,0.22654249981879726,0.2265424998187972,0.2734575001812028,0.2679036458333333,0.7761198282241821,2.8970110720591586,0.0,4.4495073620809515,0.1203493920408576,1.6608610712409093,0.016439009886594688,5.551115123125783e-17
glucose,roi_masked,1,glucose_05_c0.5_wC09,5,0.5,0.11014643703175064,0.1101464370317506,0.3898535629682494,0.2679036458333333,0.7775654196739197,2.9024070100100623,0.0,4.575739466519103,0.08966639687949929,1.7079795432742024,0.012247895563086785,4.163336342344337e-17
glucose,roi_masked,1,glucose_05_c0.5_wD02,5,0.5,0.38366673288497566,0.3836667328849756,0.1163332671150244,0.2731119791666667,0.7775012850761414,2.846822345356265,0.0,4.3134176158192705,0.09673811415988265,1.5793586312034325,0.013308530528399443,5.551115123125783e-17
glucose,roi_masked,1,glucose_05_c0.5_wD03,5,0.5,0.0819451722802027,0.0819451722802027,0.4180548277197973,0.2670355902777778,0.7662659883499146,2.8695275695379165,0.0,4.595057088005599,0.10651891113035727,1.7207657912661356,0.014532617098110625,0.0
