analyte,feature_space,model,target_transform,outer_fold,feature_group,mean_absolute_shap,shap_share,permutation_mae_increase,permutation_mae_increase_std,permutation_share,shap_direction_rho,observed_concentration_rho,direction_aligned,shap_additivity_max_error
glucose,RGB_primary,ExtraTrees,raw,4,G,3.8476363036270067,0.6224755270231092,5.709064674818361,0.25290207973830836,0.5640083821046092,0.9685058754998752,0.9,True,9.201528428093297e-13
glucose,RGB_primary,ExtraTrees,raw,4,B,1.5134963859560941,0.24485538292886427,2.903928605351764,0.1886781301730223,0.28688413387151757,-0.704197175497506,0.31266433311275804,False,9.201528428093297e-13
glucose,RGB_primary,ExtraTrees,raw,5,R,0.7328479928104424,0.11646639742215979,1.1842019493177391,0.0718303060184281,0.12175704319121367,0.8091527385246168,0.7818181818181819,True,1.0960121699099545e-12
glucose,RGB_primary,ExtraTrees,raw,5,G,4.133996434536963,0.65698709201638,5.822044263689526,0.374028501530168,0.5986098023935963,0.9679240909789409,0.9,True,1.0960121699099545e-12
glucose,RGB_primary,ExtraTrees,raw,5,B,1.4255112136883772,0.2265465105614603,2.7196958621300733,0.162770924105247,0.27963315441519004,-0.6461257583619061,0.31266433311275804,False,1.0960121699099545e-12
glucose,HSV_primary,ExtraTrees,raw,1,Hue,4.952541735320733,0.8519739824620914,5.799980414141415,0.27202366032162106,0.9231149154077432,-0.9089553622319836,-0.9,True,1.2718714970105793e-12
glucose,HSV_primary,ExtraTrees,raw,1,Saturation,0.5381667174983703,0.09257954118097796,0.20777770707070703,0.02202837940914403,0.033069542789927436,-0.9157117268678386,-0.8192412728200082,True,1.2718714970105793e-12
glucose,HSV_primary,ExtraTrees,raw,1,Value,0.32231147181350855,0.05544647635693059,0.27529539393939395,0.04797922842069761,0.043815541802329404,0.8080582807227197,0.690909090909091,True,1.2718714970105793e-12
glucose,HSV_primary,ExtraTrees,raw,2,Hue,4.841129721036376,0.8481484732898105,5.720746996278575,0.2830283871045831,0.918776058684304,-0.8971173563278827,-0.9,True,3.090860900556436e-13
glucose,HSV_primary,ExtraTrees,raw,2,Saturation,0.5756450934838809,0.10085094499194794,0.25525681020733654,0.02308374755113536,0.040995318651075655,-0.9148662401748404,-0.8192412728200082,True,3.090860900556436e-13
glucose,HSV_primary,ExtraTrees,raw,2,Value,0.2911052011785658,0.051000581718241574,0.2504829877724614,0.04069163150212164,0.0402286226646203,0.7705103886781156,0.690909090909091,True,3.090860900556436e-13
glucose,HSV_primary,ExtraTrees,raw,3,Hue,5.022782685149588,0.8539148543598418,5.676678001063264,0.31501040996870816,0.9205506908469641,-0.9073847205426153,-0.9,True,5.293543381412746e-13
glucose,HSV_primary,ExtraTrees,raw,3,Saturation,0.5560530676333411,0.09453364878164675,0.2580212759170653,0.028172573019357803,0.04184166580422227,-0.8996073865828907,-0.8192412728200082,True,5.293543381412746e-13
glucose,HSV_primary,ExtraTrees,raw,3,Value,0.30322925581214905,0.0515514968585114,0.23191170653907492,0.04836331475901146,0.03760764334881368,0.816439194410188,0.690909090909091,True,5.293543381412746e-13
glucose,HSV_primary,ExtraTrees,raw,4,Hue,4.995242250897394,0.8507039999492533,5.8922997129186605,0.2383658595062893,0.9103013364995749,-0.8610021557389979,-0.9,True,4.405364961712621e-13
glucose,HSV_primary,ExtraTrees,raw,4,Saturation,0.556586498282303,0.09478826784055186,0.242909154704944,0.02888878338607483,0.03752703340787189,-0.9420694967492542,-0.8192412728200082,True,4.405364961712621e-13
glucose,HSV_primary,ExtraTrees,raw,4,Value,0.32006353203136306,0.05450773221019493,0.3377023285486443,0.04176617348682038,0.05217163009255315,0.8174170495398051,0.690909090909091,True,4.405364961712621e-13
