analyte,feature_space,model,outer_fold,patch_id,actual_concentration,prediction,feature_group,feature_value,shap_value,normalized_shap_percent
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wC03,0.1,0.09999999999999976,R,90.0,-0.7777443586130273,-3.888721793065136
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wC09,0.1,0.5597333333333332,R,77.0,-0.9478079749780254,-4.739039874890127
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wD02,0.1,0.0571999999999999,R,88.0,-0.7549188293687212,-3.7745941468436057
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wD03,0.1,0.0,R,83.0,-1.031059909333307,-5.1552995466665354
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wE02,0.1,0.12833333333333347,R,99.0,-0.5985369045363297,-2.9926845226816488
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wE03,0.1,0.011733333333333342,R,95.0,-0.7140071131339524,-3.5700355656697615
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wE08,0.1,0.5906666666666667,R,101.0,-0.41152898146573447,-2.0576449073286724
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wE10,0.1,0.2688666666666667,R,89.0,-0.7364388485042468,-3.682194242521234
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wE11,0.1,0.09999999999999977,R,87.0,-0.8472152409773965,-4.236076204886983
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wF01,0.1,0.09999999999999976,R,118.0,0.09139675365049733,0.45698376825248666
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wF12,0.1,0.039666666666666635,R,95.0,-0.6945962754159596,-3.4729813770797984
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wG06,0.1,0.49133333333333307,R,78.0,-0.9410586058912982,-4.705293029456491
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wG09,0.1,0.2150000000000009,R,77.0,-1.0756909838315885,-5.378454919157942
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wG11,0.1,0.06033333333333318,R,91.0,-0.7933609900996047,-3.966804950498023
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wG12,0.1,0.039666666666666635,R,95.0,-0.6945962754159596,-3.4729813770797984
glucose,RGB_primary,ExtraTrees,1,glucose_04_c0.1_wH05,0.1,0.09999999999999976,R,71.0,-1.1232030419642713,-5.616015209821357
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wA06,0.5,0.69,R,117.0,0.10978164255187182,0.5489082127593592
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wA11,0.5,0.5,R,110.0,-0.21885276355208166,-1.0942638177604083
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wA12,0.5,0.32,R,115.0,0.061355219672691655,0.3067760983634583
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wC01,0.5,0.5,R,122.0,-0.202729693866415,-1.013648469332075
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wC03,0.5,0.5183333333333332,R,111.0,-0.13830563570941126,-0.6915281785470564
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wC09,0.5,0.5133333333333333,R,104.0,-0.42829947096817206,-2.1414973548408605
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wD02,0.5,0.8233333333333334,R,113.0,-0.0656564451962695,-0.3282822259813475
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wD03,0.5,0.2226666666666667,R,106.0,-0.4490718214431376,-2.2453591072156884
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wE02,0.5,0.7879999999999999,R,107.0,-0.3874289213482694,-1.937144606741347
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wE03,0.5,0.5,R,102.0,-0.4754990612425803,-2.3774953062129014
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wE08,0.5,1.0,R,94.0,-0.6461433761453709,-3.2307168807268547
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wE10,0.5,0.4,R,102.0,-0.46638124639234435,-2.331906231961722
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wE11,0.5,0.9133333333333333,R,109.0,-0.289790966924035,-1.4489548346201748
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wF01,0.5,0.6333333333333333,R,119.0,-0.034328710319918104,-0.17164355159959052
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wF12,0.5,0.32,R,115.0,0.061355219672691655,0.3067760983634583
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wG06,0.5,0.5,R,84.0,-0.9744089904719613,-4.872044952359806
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wG09,0.5,0.93,R,87.0,-0.8370158949133317,-4.185079474566658
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wG11,0.5,0.45666666666666667,R,96.0,-0.7055974393920855,-3.527987196960428
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wG12,0.5,0.9119999999999999,R,108.0,-0.2740526002356475,-1.3702630011782373
glucose,RGB_primary,ExtraTrees,1,glucose_05_c0.5_wH05,0.5,0.06733333333333326,R,82.0,-0.9957975090874429,-4.978987545437215
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wA06,1.0,0.5,R,106.0,-0.42689992224066176,-2.1344996112033088
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wA11,1.0,0.06139999999999998,R,93.0,-0.7707648878680816,-3.853824439340408
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wA12,1.0,0.29333333333333333,R,118.0,0.07115432058186795,0.35577160290933973
