analyte,outer_fold,feature_set,model,feature_count,target_transform,inner_best_mae,mae,rmse,r2,normalized_mae
glucose,5,Hue_only,ElasticNet,2,log1p,1.2077346156252085,1.2219216344047197,2.1501288016994433,0.8963965516608078,0.061096081720235985
glucose,5,Hue_only,SVR,2,log1p,0.561682918672339,0.45533287001492073,1.0547983927597613,0.9750664466196848,0.022766643500746038
glucose,5,Hue_only,RandomForest,2,raw,0.5502164155461198,0.4688079768467114,1.1510516268878832,0.9703083137159515,0.02344039884233557
glucose,5,Hue_only,ExtraTrees,2,log1p,0.5440357417535859,0.46302410990293313,1.1003940462714685,0.9728642567692282,0.023151205495146657
ketone,1,G_only,Ridge,1,log1p,0.9740113897025786,0.9603096623280563,1.618127641364011,0.7712447340044539,0.09603096623280563
ketone,1,G_only,ElasticNet,1,log1p,0.9752845891694346,0.9616466279997763,1.620289741468711,0.7706330119100371,0.09616466279997762
ketone,1,G_only,SVR,1,raw,0.5916735908001651,0.6236859619496835,1.3300058968959294,0.8454558109318189,0.06236859619496835
ketone,1,G_only,RandomForest,1,log1p,0.6082774978790099,0.690365373092433,1.3575577873445948,0.8389865344244738,0.06903653730924329
ketone,1,G_only,ExtraTrees,1,log1p,0.6256744220846306,0.6688747372957146,1.2796906453044896,0.8569277070527408,0.06688747372957146
ketone,1,Hue_only,Ridge,2,log1p,0.4353280363863921,0.41560327929854113,0.6810430623274359,0.9594776434605847,0.04156032792985411
ketone,1,Hue_only,ElasticNet,2,log1p,0.4361092516709449,0.4166648952033311,0.6831075614494767,0.959231593910376,0.04166648952033311
ketone,1,Hue_only,SVR,2,raw,0.13705671424966442,0.13615809913711555,0.39349074080727964,0.9864725922189266,0.013615809913711554
ketone,1,Hue_only,RandomForest,2,raw,0.045505659722222244,0.04281083333333335,0.23866735451483745,0.9950234131748988,0.004281083333333335
ketone,1,Hue_only,ExtraTrees,2,log1p,0.054910911679922694,0.07042638020336402,0.4312448125900948,0.9837522467464186,0.007042638020336401
ketone,2,G_only,Ridge,1,log1p,0.9748832470142048,0.9299693328763675,1.5343795333805417,0.7943109648971098,0.09299693328763675
ketone,2,G_only,ElasticNet,1,log1p,0.9761547573471454,0.9314224753266017,1.5367058978805945,0.7936867771965685,0.09314224753266018
ketone,2,G_only,SVR,1,raw,0.6155509269606101,0.5229403672679902,1.1216045646183295,0.8900930684415774,0.05229403672679902
ketone,2,G_only,RandomForest,1,log1p,0.6266863104494206,0.6332817485010308,1.3006865066381283,0.8521944244979943,0.06332817485010309
ketone,2,G_only,ExtraTrees,1,raw,0.627050551468735,0.6084801381578564,1.2259139567617134,0.8686997582121592,0.06084801381578564
ketone,2,Hue_only,Ridge,2,log1p,0.450726147740261,0.4070115159806368,0.6311322572358712,0.9651994344213664,0.04070115159806368
ketone,2,Hue_only,ElasticNet,2,log1p,0.4514848955145302,0.40827726358183586,0.6335463315355699,0.9649327016695497,0.04082772635818359
ketone,2,Hue_only,SVR,2,log1p,0.13571474350061757,0.06255170656555258,0.15264092694796624,0.9979644229938437,0.006255170656555257
ketone,2,Hue_only,RandomForest,2,raw,0.04406100694444447,0.011345175438596512,0.04024670666850667,0.9998584837721273,0.0011345175438596511
ketone,2,Hue_only,ExtraTrees,2,log1p,0.04646075164831439,0.014114338862369022,0.04275712239764136,0.9998402788292019,0.0014114338862369021
ketone,3,G_only,Ridge,1,log1p,0.9510941613277384,0.9481953905505036,1.5733678070950992,0.7837251265726574,0.09481953905505036
ketone,3,G_only,ElasticNet,1,log1p,0.9523707627476302,0.9495901558416227,1.5753905242841215,0.7831686843948077,0.09495901558416227
ketone,3,G_only,SVR,1,raw,0.6031576135908463,0.6032233339887295,1.3365954676275873,0.8439206257562168,0.060322333398872954
ketone,3,G_only,RandomForest,1,log1p,0.6100281006741232,0.6197155683141983,1.313284715320586,0.8493173232400417,0.061971556831419826
