analyte,feature_set,model,folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,normalized_mae_mean
ketone,G_only,Ridge,5,0.9340439892574756,0.041434372257946245,1.5475205684282494,0.05119457955063115,0.79058949054327,0.013876306140262563,0.09340439892574756
ketone,G_only,ElasticNet,5,0.9354904176517836,0.04137529078894451,1.5496311201206543,0.05124420396363228,0.7900180459517169,0.013907928517677267,0.09354904176517836
ketone,HSV_primary,RandomForest,5,0.04038285526315786,0.020051561363872296,0.28351769466404975,0.15657425818606435,0.9912638023724336,0.006412720481103412,0.00403828552631574
ketone,HSV_primary,ExtraTrees,5,0.04481531141051666,0.016951116755166796,0.2606684213399944,0.13260921280588864,0.992834522611569,0.004822690685832558,0.0044815311410516204
ketone,HSV_primary,SVR,5,0.10103133992665084,0.026712856362076317,0.2840784541924047,0.09839140248999849,0.9922728361244817,0.005168621007149457,0.01010313399266506
ketone,HSV_primary,Ridge,5,0.3895344967952787,0.028872163553707152,0.6448153365128053,0.031569290893499885,0.9636044529191308,0.0035283002479036905,0.03895344967952784
ketone,HSV_primary,ElasticNet,5,0.4045362061601444,0.03367041693606481,0.658559043891605,0.05254039839970326,0.9619161545526366,0.006000711871207838,0.040453620616014416
ketone,Hue_only,RandomForest,5,0.043832342105263176,0.0219880670355236,0.2862900860706407,0.15507387789978264,0.9911584681382916,0.0063772571517868885,0.0043832342105263175
ketone,Hue_only,ExtraTrees,5,0.05076958944162004,0.02266817759027468,0.3190873070710037,0.16179582317586197,0.9892749590112677,0.00674597770484334,0.005076958944162005
ketone,Hue_only,SVR,5,0.1088359136736196,0.030280354554993484,0.32007306960057297,0.09869675879165007,0.9903687375979254,0.0046840643402993485,0.01088359136736196
ketone,Hue_only,Ridge,5,0.40657128227165595,0.0417677206543331,0.6668527683941872,0.07438051442803154,0.9607620262323741,0.008485173552771572,0.04065712822716559
ketone,Hue_only,ElasticNet,5,0.40765749033086723,0.041869655849527745,0.6688102523015909,0.07455605813885925,0.9605317754500551,0.008526609168795996,0.040765749033086725
ketone,RGB_primary,ExtraTrees,5,0.08651581278148592,0.030728460425641358,0.32170082554547286,0.1528444316387781,0.9893254973583698,0.009077750061514005,0.00865158127814854
ketone,RGB_primary,RandomForest,5,0.13752558435365414,0.03496665957263383,0.5286825060852962,0.18765147103359747,0.973119417447618,0.01748777246189237,0.013752558435365358
ketone,RGB_primary,SVR,5,0.15307174975567564,0.02132436312982807,0.3603441048310288,0.07431723240881423,0.9882696055593303,0.0046056517099764705,0.01530717497556754
ketone,RGB_primary,Ridge,5,0.6837539984022307,0.01756336440697185,1.2376809660260195,0.050399219984413976,0.865989539920758,0.010937397213580035,0.06837539984022303
ketone,RGB_primary,ElasticNet,5,0.6855545563967513,0.017621351870022544,1.2370750689581267,0.05039152630135871,0.8661205957769257,0.010933894233450118,0.0685554556396751
