analyte,outer_fold,feature_set,model,inner_best_mae,best_parameters
ketone,2,G_only,RandomForest,0.6266863104494206,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
ketone,2,G_only,ExtraTrees,0.627050551468735,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,2,Hue_only,Ridge,0.450726147740261,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,2,Hue_only,ElasticNet,0.4514848955145302,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,2,Hue_only,SVR,0.13571474350061757,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
ketone,2,Hue_only,RandomForest,0.04406100694444447,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,2,Hue_only,ExtraTrees,0.04646075164831439,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,3,G_only,Ridge,0.9510941613277384,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,3,G_only,ElasticNet,0.9523707627476302,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,3,G_only,SVR,0.6031576135908463,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,3,G_only,RandomForest,0.6100281006741232,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
ketone,3,G_only,ExtraTrees,0.6163565145551001,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,3,Hue_only,Ridge,0.44244378688917985,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,3,Hue_only,ElasticNet,0.4431923452053148,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,3,Hue_only,SVR,0.1164747331268893,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
ketone,3,Hue_only,RandomForest,0.03991032638888891,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,3,Hue_only,ExtraTrees,0.04590170319560928,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,4,G_only,Ridge,0.9818237990141061,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,4,G_only,ElasticNet,0.9830599194047389,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,4,G_only,SVR,0.5860478712826556,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,4,G_only,RandomForest,0.6445163970955766,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
ketone,4,G_only,ExtraTrees,0.6486726653830838,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,4,Hue_only,Ridge,0.42039910171785505,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,4,Hue_only,ElasticNet,0.42121410000611126,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,4,Hue_only,SVR,0.13332271427255343,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,4,Hue_only,RandomForest,0.031523562500000026,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,4,Hue_only,ExtraTrees,0.03760091666666669,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,5,G_only,Ridge,0.9500244188883282,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,5,G_only,ElasticNet,0.9512889231990034,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,5,G_only,SVR,0.6123859202049515,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,5,G_only,RandomForest,0.6380243998141104,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
ketone,5,G_only,ExtraTrees,0.6536316267923238,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,5,Hue_only,Ridge,0.4426713582754749,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,5,Hue_only,ElasticNet,0.4435294122107699,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,5,Hue_only,SVR,0.11940752551838676,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
ketone,5,Hue_only,RandomForest,0.029510930555555575,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,5,Hue_only,ExtraTrees,0.03796111870430678,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
