analyte,outer_fold,input_mode,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,roi_masked,raw,1,29,0.04029814059084112,0.5719466252173412,0.0005
glucose,1,roi_masked,raw,1,30,0.03595319080984954,0.593898709736247,0.0005
glucose,1,roi_masked,raw,1,31,0.042945801760211136,0.6202726145812604,0.0005
glucose,1,roi_masked,raw,1,32,0.04094506209772645,0.5332737756610267,0.0005
glucose,1,roi_masked,raw,1,33,0.03565722360755458,1.065426705853224,0.0005
glucose,1,roi_masked,raw,1,34,0.03916191430480191,0.5182140794940241,0.0005
glucose,1,roi_masked,raw,1,35,0.03537442950588284,0.5193623989833182,0.0005
glucose,1,roi_masked,raw,1,36,0.04124402437697757,0.6394441683297439,0.0005
glucose,1,roi_masked,raw,1,37,0.041173733906312425,0.49876474147642536,0.0005
glucose,1,roi_masked,raw,1,38,0.04158028420625311,0.7202042968976937,0.0005
glucose,1,roi_masked,raw,1,39,0.031649618957078816,0.641091778808748,0.0005
glucose,1,roi_masked,raw,1,40,0.03673370453444394,0.6262039871269613,0.0005
glucose,1,roi_masked,raw,1,41,0.045486815905932225,0.6320727926295352,0.0005
glucose,1,roi_masked,raw,1,42,0.03888664227543455,0.4964575518957375,0.0005
glucose,1,roi_masked,raw,1,43,0.030625533233537817,0.6622234210950299,0.0005
glucose,1,roi_masked,raw,1,44,0.03483190644871105,0.5581037810720676,0.0005
glucose,1,roi_masked,raw,1,45,0.0352372094424385,0.5935824674772273,0.0005
glucose,1,roi_masked,raw,1,46,0.039102780480276454,0.7670145185553,0.0005
glucose,1,roi_masked,raw,1,47,0.04009800966490399,0.5942952631117393,0.0005
glucose,1,roi_masked,raw,1,48,0.03270807586271655,0.5682066842086019,0.0005
glucose,1,roi_masked,raw,1,49,0.031670657375996766,0.49339148626452184,0.0005
glucose,1,roi_masked,raw,1,50,0.03464509369523236,0.5570922660566674,0.0005
glucose,1,roi_masked,raw,1,51,0.03442475641089859,0.5436745744584751,0.0005
glucose,1,roi_masked,raw,1,52,0.03412177353871591,0.5198798008534689,0.0005
glucose,1,roi_masked,raw,1,53,0.03846273169373021,0.4795701977289076,0.0005
glucose,1,roi_masked,raw,1,54,0.033761646779197636,0.5801477687905373,0.0005
glucose,1,roi_masked,raw,1,55,0.03309753823912505,0.5277070913191967,0.0005
glucose,1,roi_masked,raw,1,56,0.03714434961703691,0.6358266206633737,0.0005
glucose,1,roi_masked,raw,1,57,0.032211246047959184,0.4750363364396661,0.0005
glucose,1,roi_masked,raw,1,58,0.03404329910197041,0.5772002813107936,0.0005
glucose,1,roi_masked,raw,1,59,0.03223528983918103,0.48161761865863506,0.0005
glucose,1,roi_masked,raw,1,60,0.030856932880300465,0.4989230797961048,0.0005
glucose,1,roi_masked,raw,1,61,0.036428881481741414,0.5007592960923353,0.0005
glucose,1,roi_masked,raw,1,62,0.03381836375955379,0.6194821375110151,0.0005
glucose,1,roi_masked,raw,1,63,0.03794275598995613,0.5651233035258755,0.0005
glucose,1,roi_masked,raw,1,64,0.031688526396950085,0.7181165465131566,0.0005
glucose,1,roi_masked,raw,1,65,0.031924021086006456,0.5492462200485659,0.00025
glucose,1,roi_masked,raw,1,66,0.028784903951666573,0.5405267007988275,0.00025
glucose,1,roi_masked,raw,1,67,0.032386531071229414,0.5457564683630935,0.00025
glucose,1,roi_masked,raw,1,68,0.032210054824298076,0.5985268232548889,0.00025
glucose,1,roi_masked,raw,1,69,0.037138380832744365,0.5039962251557666,0.00025
glucose,1,roi_masked,raw,1,70,0.03250633545897224,0.4735265599811765,0.00025
glucose,1,roi_masked,raw,1,71,0.03061119785363024,0.4899699015889247,0.00025
glucose,1,roi_masked,raw,1,72,0.030675691795168502,0.5447367227427108,0.00025
glucose,1,roi_masked,raw,1,73,0.03021718781215675,0.47498838422166223,0.00025
glucose,1,roi_masked,raw,1,74,0.034568779757528596,0.5241287590379835,0.00025
glucose,1,roi_masked,raw,1,75,0.031914691389961676,0.46824634382160985,0.00025
glucose,1,roi_masked,raw,1,76,0.032265291622642314,0.5146357149189463,0.00025
