mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,analyte,input_mode,model,outer_fold,target_transform,best_epoch,epochs_run,training_seconds,inference_seconds,inference_ms_per_patch,parameter_count,model_size_bytes,validation_mae,evaluation_unit,n_observations
0.22817802783715183,0.3361243426020885,0.9974681079280622,0.9363636363636365,0.01140890139185759,0.016806217130104426,0.07889718430254546,0.24590452802599796,0.09090909090909091,glucose,roi_masked,TinyColorCNN,4,log1p,53,71,15.096739299988258,0.01881189999403432,0.09000909088054698,169049,687811,0.45605380521180633,concentration_median,11
0.4044581136588029,0.7348554077968168,0.9878982257781553,0.916041912358791,0.020222905682940145,0.03674277038984084,0.10261839788163243,0.4388015689606145,0.13875598086124402,glucose,full_patch,TinyColorCNN,4,raw,97,115,26.82891739999468,0.020797000004677102,0.0995071770558713,169049,687811,0.4004783291057629,patch,209
0.1524039179289037,0.2249391885604525,0.998866098041262,0.9454545454545454,0.007620195896445185,0.011246959428022625,0.05757259678949923,0.15447920938546797,0.09090909090909091,glucose,full_patch,TinyColorCNN,4,raw,97,115,26.82891739999468,0.020797000004677102,0.0995071770558713,169049,687811,0.4004783291057629,concentration_median,11
0.4153131528752722,0.7987609276899396,0.9857018818116802,0.9106797240955805,0.02076565764376361,0.03993804638449698,0.10309362254705964,0.45936806886400433,0.1291866028708134,glucose,roi_masked,TinyColorCNN,5,raw,63,81,18.9097308999917,0.02257280000776518,0.10800382778835015,169049,687811,0.5109793571565706,patch,209
0.1775650644467146,0.2478427533816541,0.9986234318796674,0.9454545454545454,0.00887825322233573,0.012392137669082705,0.06824132541869196,0.17864788815673094,0.09090909090909091,glucose,roi_masked,TinyColorCNN,5,raw,63,81,18.9097308999917,0.02257280000776518,0.10800382778835015,169049,687811,0.5109793571565706,concentration_median,11
0.4309318192788751,0.7431513323129378,0.9876234449275609,0.905636631110218,0.021546590963943756,0.03715756661564689,0.11597717857333388,0.4968184252696075,0.1291866028708134,glucose,full_patch,TinyColorCNN,5,raw,73,91,19.63241970000672,0.019840599998133257,0.09493110046953712,169049,687811,0.46515239203461145,patch,209
0.20914707409819666,0.3651585098355458,0.9970118106784777,0.9454545454545454,0.010457353704909833,0.01825792549177729,0.06897700666497829,0.20914707409819666,0.0,glucose,full_patch,TinyColorCNN,5,raw,73,91,19.63241970000672,0.019840599998133257,0.09493110046953712,169049,687811,0.46515239203461145,concentration_median,11
0.15460497263923353,0.317254862773192,0.9912064928293747,0.9448863621494843,0.015460497263923354,0.0317254862773192,0.0526731444387696,0.17833721477744013,0.15,ketone,roi_masked,TinyColorCNN,1,raw,73,91,15.389660500004538,0.01659240000299178,0.10370250001869863,169049,687778,0.11633691526983017,patch,160
0.033824430020154755,0.04349270817831102,0.9998347359281861,1.0,0.0033824430020154756,0.004349270817831102,0.01532455052849701,0.03253627759756805,0.25,ketone,roi_masked,TinyColorCNN,1,raw,73,91,15.389660500004538,0.01659240000299178,0.10370250001869863,169049,687778,0.11633691526983017,concentration_median,8
0.14734508202639493,0.3235743341638443,0.9908526840627816,0.948978518118975,0.014734508202639492,0.03235743341638443,0.04531272741216258,0.19779634336033264,0.23125,ketone,full_patch,TinyColorCNN,1,log1p,45,63,10.709819100011373,0.014328300007036887,0.08955187504398054,169049,687778,0.12027996319225372,patch,160
0.029860466702363683,0.0400974981543105,0.999859531126643,0.9940297973880048,0.002986046670236368,0.00400974981543105,0.018187494396797663,0.038571118728048845,0.375,ketone,full_patch,TinyColorCNN,1,log1p,45,63,10.709819100011373,0.014328300007036887,0.08955187504398054,169049,687778,0.12027996319225372,concentration_median,8
0.13659905463745833,0.3248731809082839,0.9907791009276945,0.9619752224624648,0.013659905463745833,0.03248731809082839,0.03732523650326078,0.1608694340108201,0.05263157894736842,ketone,roi_masked,TinyColorCNN,2,log1p,52,70,11.824304299996584,0.02278949999890756,0.14993092104544448,169049,687778,0.16319322416972248,patch,152
0.0605471810007841,0.09247373530955715,0.999252893787012,1.0,0.00605471810007841,0.009247373530955715,0.017948287276220935,0.0605471810007841,0.0,ketone,roi_masked,TinyColorCNN,2,log1p,52,70,11.824304299996584,0.02278949999890756,0.14993092104544448,169049,687778,0.16319322416972248,concentration_median,8
0.12943555537750678,0.22054673072041342,0.995750412305461,0.9424142227099842,0.012943555537750678,0.022054673072041342,0.06016059036948459,0.22617058280085384,0.2894736842105263,ketone,full_patch,TinyColorCNN,2,raw,56,74,12.715140800006338,0.015749100013636053,0.10361250008971087,169049,687778,0.13269319994373308,patch,152
