mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,analyte,feature_set,model,outer_fold,evaluation_unit,n_observations,fit_seconds,predict_seconds,inner_best_mae
0.17916180299138193,0.25110605246530754,0.9985869432021048,0.9454545454545454,0.008958090149569097,0.012555302623265378,0.0661024950528438,0.17916180299138193,0.0,glucose,RGB_HSV_combined,SVR,1,concentration_median,11,2.8823543999897083,0.007434900006046519,0.4597443063271087
0.32651121212121215,0.9015903844839626,0.9817835477477187,0.9239919225085078,0.016325560606060607,0.04507951922419813,0.07810113531928647,0.32651121212121215,0.0,glucose,RGB_HSV_combined,RandomForest,1,patch,220,7.354436499997973,0.007390400001895614,0.3729654090909091
0.09532424242424226,0.17227509273182104,0.9993348949552349,0.9454545454545454,0.004766212121212113,0.008613754636591052,0.050813988025692126,0.09532424242424226,0.0,glucose,RGB_HSV_combined,RandomForest,1,concentration_median,11,7.354436499997973,0.007390400001895614,0.3729654090909091
0.34763393939393944,0.877342201806517,0.9827502304400274,0.9245701376857324,0.01738169696969697,0.04386711009032585,0.08228501860084278,0.34763393939393944,0.0,glucose,RGB_HSV_combined,ExtraTrees,1,patch,220,4.23815979999199,0.008500300013110973,0.35673496464646465
0.12379999999999985,0.21098351364574203,0.9990024324844075,0.9454545454545454,0.006189999999999992,0.010549175682287101,0.04892059926667124,0.12379999999999985,0.0,glucose,RGB_HSV_combined,ExtraTrees,1,concentration_median,11,4.23815979999199,0.008500300013110973,0.35673496464646465
0.5563574916720344,1.2989331569874691,0.9621889390958303,0.8991335648152933,0.027817874583601722,0.06494665784937345,0.10426728265656687,0.5563574916720344,0.0,glucose,Chromaticity_secondary,ExtraTrees,1,patch,220,3.109263699996518,0.009811399999307469,0.5716231557482461
0.3980076634463012,0.9535560113974394,0.9796231206536927,0.9454545454545454,0.01990038317231506,0.04767780056987197,0.06951598594534497,0.3980076634463012,0.0,glucose,Chromaticity_secondary,ExtraTrees,1,concentration_median,11,3.109263699996518,0.009811399999307469,0.5716231557482461
1.0443739126255631,2.3031746796740555,0.8811226782611677,0.8563189751437904,0.05221869563127816,0.11515873398370277,0.19275780013073357,1.0443739126255631,0.0,glucose,Background_adjusted_secondary,ExtraTrees,1,patch,220,3.5637284999975236,0.010584899995592423,1.0999583132120168
0.7152387461875351,1.4966852099436487,0.9497997140133139,0.9090909090909091,0.035761937309376754,0.07483426049718243,0.11713858410608706,0.7152387461875351,0.0,glucose,Background_adjusted_secondary,ExtraTrees,1,concentration_median,11,3.5637284999975236,0.010584899995592423,1.0999583132120168
4.214713147423688,6.639655869010006,0.012046740379902388,0.3435941401540266,0.2107356573711844,0.3319827934505003,0.8333675645367299,4.214713147423688,0.0,glucose,Background_negative_control,ExtraTrees,1,patch,220,3.6917647999944165,0.010417400000733323,4.11891110499424
3.5554687308556083,5.900218889063229,0.21984390746007298,0.7181818181818183,0.1777734365427804,0.29501094445316145,0.6254148454929997,3.5554687308556083,0.0,glucose,Background_negative_control,ExtraTrees,1,concentration_median,11,3.6917647999944165,0.010417400000733323,4.11891110499424
5.510082644628099,6.6800139802892256,0.0,,0.27550413223140496,0.3340006990144613,1.1671083184368773,5.510082644628099,0.0,glucose,Baseline,DummyMean,2,patch,209,0.00027459999546408653,2.2899999748915434e-05,
5.510082644628099,6.6800139802892256,0.0,,0.27550413223140496,0.3340006990144613,1.1671083184368773,5.510082644628099,0.0,glucose,Baseline,DummyMean,2,concentration_median,11,0.00027459999546408653,2.2899999748915434e-05,
1.3833249181613536,2.4148230293179416,0.8693179691243644,0.8904632713670984,0.06916624590806768,0.12074115146589708,0.18995242344680024,1.3890329961581789,0.05741626794258373,glucose,RGB_primary,Ridge,2,patch,209,0.13212510000448674,0.001428099989425391,1.3861760661268125
1.23612303596749,2.1483638029477827,0.8965665739438987,0.9363636363636365,0.061806151798374495,0.10741819014738914,0.1559633732852443,1.23612303596749,0.0,glucose,RGB_primary,Ridge,2,concentration_median,11,0.13212510000448674,0.001428099989425391,1.3861760661268125
1.4094825999080498,2.457214045735406,0.8646895820551015,0.8886757830432699,0.07047412999540249,0.1228607022867703,0.19184299683120487,1.414256859962982,0.05263157894736842,glucose,RGB_primary,ElasticNet,2,patch,209,0.308001699988381,0.001358200010145083,1.4028234476439796
1.2963449715952504,2.2498292083915827,0.8865657095980635,0.9363636363636365,0.06481724857976252,0.11249146041957914,0.16153754965571823,1.2963449715952504,0.0,glucose,RGB_primary,ElasticNet,2,concentration_median,11,0.308001699988381,0.001358200010145083,1.4028234476439796
0.7034462048283351,1.4637635638025905,0.9519838735161096,0.8991059647853847,0.03517231024141675,0.07318817819012953,0.13246097521997377,0.7261776200192512,0.05741626794258373,glucose,RGB_primary,SVR,2,patch,209,2.2965031000057934,0.007843499988666736,0.6783569304717865
0.4498530201557866,0.8705830339556359,0.9830149959077576,0.9454545454545454,0.02249265100778933,0.04352915169778179,0.08672757769913111,0.4498530201557866,0.0,glucose,RGB_primary,SVR,2,concentration_median,11,2.2965031000057934,0.007843499988666736,0.6783569304717865
0.7435208632692843,1.6187635552515403,0.9412764781899758,0.8964282430501567,0.03717604316346422,0.08093817776257702,0.14098181300874527,0.7435208632692843,0.0,glucose,RGB_primary,RandomForest,2,patch,209,5.62384510000993,0.009055099988472648,0.6323487366161615
0.3364716594516597,0.5602627071709608,0.9929655736316633,0.9363636363636365,0.016823582972582983,0.02801313535854804,0.07448024548010652,0.3364716594516597,0.0,glucose,RGB_primary,RandomForest,2,concentration_median,11,5.62384510000993,0.009055099988472648,0.6323487366161615
0.581209144072302,1.2864975060323085,0.9629094601506687,0.896228829485154,0.0290604572036151,0.06432487530161543,0.12211497629988925,0.581209144072302,0.0,glucose,RGB_primary,ExtraTrees,2,patch,209,3.5258974000025773,0.010591600002953783,0.5259926843434343
0.268820202020202,0.47644919293201315,0.9949128042580605,0.9363636363636365,0.013441010101010101,0.02382245964660066,0.061283289070650386,0.268820202020202,0.0,glucose,RGB_primary,ExtraTrees,2,concentration_median,11,3.5258974000025773,0.010591600002953783,0.5259926843434343
1.0625056131402288,1.8786825820573954,0.9209044455048009,0.9091750803201107,0.05312528065701144,0.09393412910286977,0.16459850161093523,1.0714903322528408,0.0861244019138756,glucose,HSV_primary,Ridge,2,patch,209,0.14008149999426678,0.0021214000007603317,1.0762531387235037
0.9357768796330416,1.747951253983719,0.9315294381838102,0.9454545454545454,0.046788843981652076,0.08739756269918594,0.13284862611595263,0.9370189670031519,0.09090909090909091,glucose,HSV_primary,Ridge,2,concentration_median,11,0.14008149999426678,0.0021214000007603317,1.0762531387235037
1.070273172788823,1.89705585274889,0.9193497919238716,0.909375772914031,0.05351365863944115,0.0948527926374445,0.16463593021576056,1.0788997830105742,0.0861244019138756,glucose,HSV_primary,ElasticNet,2,patch,209,0.2952194999961648,0.0015764999989187345,1.0839221177674427
0.9419475135876172,1.768054182571654,0.9299454420215232,0.9454545454545454,0.04709737567938086,0.0884027091285827,0.13292403665774055,0.9432203729832842,0.09090909090909091,glucose,HSV_primary,ElasticNet,2,concentration_median,11,0.2952194999961648,0.0015764999989187345,1.0839221177674427
0.44349095937030303,1.0015607380360896,0.9775198171053678,0.9051374655461228,0.022174547968515153,0.05007803690180448,0.09652459332258474,0.4463311749159702,0.019138755980861243,glucose,HSV_primary,SVR,2,patch,209,2.9392230000084965,0.008094999997410923,0.42843767387988196
0.1999105716613504,0.32731480130823465,0.9975990863171785,0.9454545454545454,0.00999552858306752,0.016365740065411732,0.06038526938425128,0.1999105716613504,0.0,glucose,HSV_primary,SVR,2,concentration_median,11,2.9392230000084965,0.008094999997410923,0.42843767387988196
0.3823424242886675,1.0517610291258153,0.9752098355947072,0.9178032842306076,0.019117121214433375,0.052588051456290766,0.08503491797590408,0.3823424242886675,0.0,glucose,HSV_primary,RandomForest,2,patch,209,6.092374600004405,0.013957800008938648,0.36225596569032265
0.170309705654935,0.33824772066454645,0.9974360177479874,0.9454545454545454,0.00851548528274675,0.01691238603322732,0.05912680443987099,0.170309705654935,0.0,glucose,HSV_primary,RandomForest,2,concentration_median,11,6.092374600004405,0.013957800008938648,0.36225596569032265
0.38559553429027116,1.0318119128494976,0.9761413243740894,0.9026158873627342,0.019279776714513558,0.05159059564247488,0.08726864419134621,0.38559553429027116,0.0,glucose,HSV_primary,ExtraTrees,2,patch,209,3.7994715999957407,0.009182200010400265,0.36142673232323236
0.1291939393939394,0.23942369274251996,0.9987153657197616,0.9454545454545454,0.0064596969696969694,0.011971184637125997,0.04995443157863791,0.1291939393939394,0.0,glucose,HSV_primary,ExtraTrees,2,concentration_median,11,3.7994715999957407,0.009182200010400265,0.36142673232323236
0.9783469805111089,1.695600363712143,0.9355693875884464,0.9053188756289774,0.048917349025555446,0.08478001818560715,0.15148970034433654,0.9887205052186879,0.09569377990430622,glucose,RGB_HSV_combined,Ridge,2,patch,209,0.1274456000101054,0.0013106999977026135,0.9361706570134605
0.85672855134235,1.549021690884351,0.9462274966077373,0.9454545454545454,0.0428364275671175,0.07745108454421755,0.12675907898418062,0.8570269910628714,0.09090909090909091,glucose,RGB_HSV_combined,Ridge,2,concentration_median,11,0.1274456000101054,0.0013106999977026135,0.9361706570134605
1.0129481385487482,1.7634453782785635,0.9303101898210733,0.9070050916483481,0.05064740692743741,0.08817226891392818,0.15453600922685426,1.0223920648613973,0.0861244019138756,glucose,RGB_HSV_combined,ElasticNet,2,patch,209,0.4024980000103824,0.0014851999876555055,0.9887412235404851
0.8886407239232189,1.6169335374116052,0.9414091774311428,0.9363636363636365,0.04443203619616094,0.08084667687058025,0.1292307994028733,0.8886407239232189,0.0,glucose,RGB_HSV_combined,ElasticNet,2,concentration_median,11,0.4024980000103824,0.0014851999876555055,0.9887412235404851
0.46470711404164156,1.0598443359954175,0.9748273218189117,0.9058525038279821,0.02323535570208208,0.052992216799770876,0.0991764350014149,0.47660241169525563,0.023923444976076555,glucose,RGB_HSV_combined,SVR,2,patch,209,3.017200700007379,0.007370699997409247,0.45932547511140986
0.25419795661822897,0.43127380913471486,0.9958317723852347,0.9454545454545454,0.012709897830911449,0.021563690456735743,0.06075541683978223,0.25419795661822897,0.0,glucose,RGB_HSV_combined,SVR,2,concentration_median,11,3.017200700007379,0.007370699997409247,0.45932547511140986
