analyte,feature_set,model,evaluation_unit,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_rho_mean,spearman_rho_std,normalized_mae_mean,normalized_mae_std,normalized_rmse_mean,normalized_rmse_std,mean_absolute_log1p_error_mean,mean_absolute_log1p_error_std,unclipped_mae_mean,unclipped_mae_std,clipped_fraction_mean,clipped_fraction_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,inner_best_mae_mean,inner_best_mae_std
ketone,Background_negative_control,ExtraTrees,concentration_median,0.5283424388854727,0.18668161000897,1.0360113020159918,0.5081229076990877,0.8881820345290163,0.10174847373213729,0.9868654686232452,0.012951545584010231,0.05283424388854727,0.018668161000897,0.10360113020159918,0.05081229076990878,0.13160816867572162,0.02602909702018825,0.5283424388854727,0.18668161000897,0.0,0.0,3.0783007799996995,0.06285284278970334,0.008313900005305186,0.0005110388201533369,0.9303046519997021,0.028516976898385095
ketone,Background_negative_control,ExtraTrees,patch,0.8726931645503836,0.04705469662768907,1.7669588374470517,0.17385791159881941,0.7251162294336938,0.05538120998967746,0.9052793231302028,0.020297226079978147,0.08726931645503837,0.004705469662768907,0.17669588374470518,0.017385791159881932,0.22586981126313663,0.01510934423202672,0.8726931645503839,0.04705469662768952,0.00506578947368421,0.008162933503312481,3.0783007799996995,0.06285284278970334,0.008313900005305186,0.0005110388201533369,0.9303046519997021,0.028516976898385095
ketone,Baseline,DummyMean,concentration_median,2.70875,0.0,3.383196528432837,0.0,0.0,0.0,,,0.27087500000000003,0.0,0.3383196528432837,0.0,0.9299944503446052,0.0,2.70875,0.0,0.0,0.0,0.0002608800015877932,3.251986971349552e-05,1.983999682124704e-05,2.3060775836482707e-06,,
ketone,Baseline,DummyMean,patch,2.70875,0.0,3.383196528432837,0.0,8.881784197001253e-17,4.965068306494546e-17,,,0.27087500000000003,0.0,0.3383196528432837,0.0,0.9299944503446052,1.2412670766236366e-16,2.70875,0.0,0.0,0.0,0.0002608800015877932,3.251986971349552e-05,1.983999682124704e-05,2.3060775836482707e-06,,
ketone,Chromaticity_secondary,ExtraTrees,concentration_median,0.0054413166390926875,0.001076273096573013,0.010811874940972308,0.002825465279922859,0.9999892291594422,5.130512335295241e-06,1.0,0.0,0.0005441316639092687,0.00010762730965730134,0.0010811874940972307,0.000282546527992286,0.0051130694098974585,0.0009948147418823118,0.005441316639097306,0.0010762730965718505,0.1,0.05590169943749474,2.6897350399987774,0.16155509543520155,0.008211640000808984,0.0007362182200448497,0.07359966015844381,0.008012802860019057
ketone,Chromaticity_secondary,ExtraTrees,patch,0.06249471246483081,0.028750999490631108,0.26392904560140434,0.15680426168189915,0.992195661718853,0.00779058542874809,0.9544200468349666,0.00713738890216184,0.006249471246483081,0.00287509994906311,0.026392904560140436,0.015680426168189914,0.02328167180449321,0.005819389351877058,0.06249471246483471,0.02875099949062939,0.08460526315789474,0.04845608000809282,2.6897350399987774,0.16155509543520155,0.008211640000808984,0.0007362182200448497,0.07359966015844381,0.008012802860019057
ketone,HSV_primary,ElasticNet,concentration_median,0.39799316991074524,0.052358110126971,0.5825994116451083,0.09294524105922511,0.9697420442616632,0.009018086827615885,0.980952380952381,0.010647942749998961,0.03979931699107453,0.0052358110126970985,0.05825994116451083,0.009294524105922512,0.11947274651081603,0.007665928957804586,0.39799316991074524,0.052358110126971,0.0,0.0,0.24192148000292946,0.0076437567980482575,0.0012985599983949213,0.00011606512614765856,0.45143754428280036,0.015038738021651734
ketone,HSV_primary,ElasticNet,patch,0.40453620616014446,0.03367041693606482,0.658559043891605,0.05254039839970326,0.9619161545526366,0.006000711871207881,0.8965280976957501,0.01725622216285798,0.040453620616014443,0.003367041693606481,0.0658559043891605,0.005254039839970326,0.12562016724140437,0.004149839756428619,0.45460336963957315,0.03686222599765227,0.02743421052631579,0.019510212007463612,0.24192148000292946,0.0076437567980482575,0.0012985599983949213,0.00011606512614765856,0.45143754428280036,0.015038738021651734
ketone,HSV_primary,ExtraTrees,concentration_median,0.002467747091724571,0.0006151565753333378,0.004213425272065941,0.0005585469181860264,0.9999984271795597,4.136151791053075e-07,1.0,0.0,0.00024677470917245715,6.151565753333377e-05,0.000421342527206594,5.5854691818602606e-05,0.002285305218110116,0.0005430477384498764,0.0024677470917291895,0.0006151565753328907,0.1,0.05590169943749474,2.905285919999005,0.12375189066842357,0.007430280002881773,0.0002560643007854703,0.04153390383247246,0.005427967364808119
ketone,HSV_primary,ExtraTrees,patch,0.04481531141051671,0.01695111675516677,0.26066842133999446,0.13260921280588867,0.992834522611569,0.00482269068583248,0.9751901958366027,0.004296211255980849,0.004481531141051671,0.001695111675516677,0.02606684213399944,0.013260921280588867,0.01664282288424864,0.0038014686697440425,0.04481531141052079,0.016951116755166154,0.08835526315789474,0.04966974553874477,2.905285919999005,0.12375189066842357,0.007430280002881773,0.0002560643007854703,0.04153390383247246,0.005427967364808119
ketone,HSV_primary,RandomForest,concentration_median,0.002105833333333353,0.0005409418227088271,0.003819056314072038,0.0006279961329411951,0.9999986981766525,4.167751468199725e-07,1.0,0.0,0.00021058333333333533,5.409418227088271e-05,0.00038190563140720374,6.279961329411952e-05,0.002000221804585816,0.0005009882950141712,0.002105833333333353,0.0005409418227088271,0.0,0.0,4.903814580000471,0.22414191547643034,0.0068606800021370875,0.0005294133122302919,0.034796848611111125,0.008032980025472267
ketone,HSV_primary,RandomForest,patch,0.040382855263157914,0.020051561363872285,0.28351769466404975,0.15657425818606432,0.9912638023724336,0.006412720481103404,0.9747391341013266,0.0031841435941814406,0.004038285526315791,0.002005156136387229,0.028351769466404976,0.015657425818606435,0.015217066879965307,0.004360600552315188,0.040382855263157914,0.020051561363872285,0.0,0.0,4.903814580000471,0.22414191547643034,0.0068606800021370875,0.0005294133122302919,0.034796848611111125,0.008032980025472267
ketone,HSV_primary,Ridge,concentration_median,0.37555652221544605,0.06641318043332634,0.5568874525978458,0.10817316926034275,0.9720876935922214,0.009770669226335175,0.9761904761904763,0.0,0.037555652221544604,0.006641318043332634,0.05568874525978458,0.010817316926034277,0.11001877460752338,0.011365408035687424,0.37555652221544605,0.06641318043332634,0.0,0.0,0.12185182000102941,0.003780275495062258,0.0012450200010789558,0.00010207074566983602,0.45627179271905033,0.017607524150908844
