analyte,feature_set,model,outer_fold,target_transform,inner_best_mae,best_parameters
glucose,RGB_primary,RandomForest,4,raw,0.6692223657367323,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_primary,ExtraTrees,4,log1p,0.5534989738939761,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,HSV_primary,Ridge,4,log1p,1.0823348402727924,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,HSV_primary,ElasticNet,4,log1p,1.0892875429385236,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,HSV_primary,SVR,4,raw,0.4398731088048565,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
glucose,HSV_primary,RandomForest,4,raw,0.3865128484848486,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,HSV_primary,ExtraTrees,4,raw,0.3894860656565656,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,Ridge,4,log1p,0.9708433841857463,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,ElasticNet,4,log1p,1.0153984970600294,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,SVR,4,raw,0.4710339601638106,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,RandomForest,4,raw,0.38029430303030304,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,ExtraTrees,4,raw,0.37311860101010097,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Chromaticity_secondary,ExtraTrees,4,log1p,0.5835997857647804,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,Background_adjusted_secondary,ExtraTrees,4,log1p,1.0786099284245443,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,Background_negative_control,ExtraTrees,4,log1p,3.982722611036066,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,Ridge,5,log1p,1.3762992559684688,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,ElasticNet,5,log1p,1.3943319667279135,"{""alpha"": 0.001, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
glucose,RGB_primary,SVR,5,log1p,0.717104425747638,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,RGB_primary,RandomForest,5,log1p,0.7050938113525368,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,ExtraTrees,5,log1p,0.5864209906324162,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,HSV_primary,Ridge,5,log1p,1.0668151772787455,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,HSV_primary,ElasticNet,5,log1p,1.074076446969542,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,HSV_primary,SVR,5,log1p,0.4501711710794375,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,HSV_primary,RandomForest,5,raw,0.3834038030303031,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,HSV_primary,ExtraTrees,5,raw,0.37936932323232325,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,Ridge,5,log1p,0.9425211957096723,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,ElasticNet,5,log1p,0.990794005376759,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,SVR,5,log1p,0.4653271146253092,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,RandomForest,5,raw,0.3858699242424243,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,RGB_HSV_combined,ExtraTrees,5,raw,0.3801480252525252,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Chromaticity_secondary,ExtraTrees,5,raw,0.6006565353535354,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
