analyte,outer_fold,evaluation_unit,comparison_model,mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,n_observations
ketone,1,patch,CNN central ROI,0.1546049726392335,0.317254862773192,0.9912064928293748,0.9448863621494844,0.0154604972639233,0.0317254862773192,0.0526731444387696,0.1783372147774401,0.15,160
ketone,1,concentration_median,CNN central ROI,0.0338244300201547,0.043492708178311,0.999834735928186,1.0,0.0033824430020154,0.0043492708178311,0.015324550528497,0.032536277597568,0.25,8
ketone,2,patch,CNN central ROI,0.1365990546374583,0.3248731809082839,0.9907791009276944,0.9619752224624648,0.0136599054637458,0.0324873180908283,0.0373252365032607,0.1608694340108201,0.0526315789473684,152
ketone,2,concentration_median,CNN central ROI,0.0605471810007841,0.0924737353095571,0.999252893787012,1.0,0.0060547181000784,0.0092473735309557,0.0179482872762209,0.0605471810007841,0.0,8
ketone,3,patch,CNN central ROI,0.1822410853183912,0.4585846152179664,0.9816268124395122,0.9361051291505864,0.0182241085318391,0.0458584615217966,0.0567655475390635,0.2934759659298049,0.3618421052631579,152
ketone,3,concentration_median,CNN central ROI,0.0395061742061988,0.0635482586970782,0.9996471802753748,0.9940297973880048,0.0039506174206198,0.0063548258697078,0.0258197078575455,0.1503486658318901,0.375,8
ketone,4,patch,CNN central ROI,0.1333965623949279,0.3172755971557124,0.991205343381906,0.9609376338863304,0.0133396562394927,0.0317275597155712,0.0552602129723959,0.1996827417111627,0.1842105263157894,152
ketone,4,concentration_median,CNN central ROI,0.0447430000829325,0.0579172540743709,0.9997069366744208,1.0,0.0044743000082932,0.005791725407437,0.0269905209684705,0.0905891789261566,0.125,8
ketone,5,patch,CNN central ROI,0.1150642608857163,0.22793381586255,0.9954609698316575,0.9586486236936576,0.0115064260885716,0.022793381586255,0.0449202861303068,0.1320053101682924,0.1184210526315789,152
ketone,5,concentration_median,CNN central ROI,0.0345541481030087,0.0412188028185371,0.9998515650076326,1.0,0.0034554148103008,0.0041218802818537,0.0227425071642244,0.0447676216769475,0.125,8
glucose,1,patch,CNN full patch,0.4375551488748678,0.784893667696777,0.9861940305551722,0.9092114348151116,0.0218777574437433,0.0392446833848388,0.1067178714441926,0.4918938950326689,0.209090909090909,220
glucose,1,concentration_median,CNN full patch,0.1896792331450285,0.2664327634930494,0.998409181928033,0.926644502314687,0.0094839616572514,0.0133216381746524,0.0759108723153425,0.2026487772664939,0.2727272727272727,11
glucose,2,patch,CNN full patch,0.4170315527244755,0.9089740660513956,0.9814839543730244,0.951318930535395,0.0208515776362237,0.0454487033025697,0.0776370292946986,0.4863844554498648,0.1148325358851674,209
glucose,2,concentration_median,CNN full patch,0.2233418190497219,0.4400075467355775,0.9956612411971448,0.9727272727272728,0.011167090952486,0.0220003773367788,0.0480370977494252,0.2241419224696546,0.0909090909090909,11
glucose,3,patch,CNN full patch,0.3484043161266605,0.696227449370477,0.9891370560007898,0.9373737095600962,0.017420215806333,0.0348113724685238,0.0791197595315481,0.3834962099404402,0.0765550239234449,209
glucose,3,concentration_median,CNN full patch,0.2062575444961082,0.350612492861838,0.9972451368459316,0.9454545454545454,0.0103128772248054,0.0175306246430919,0.0490256456891015,0.2062575444961082,0.0,11
glucose,4,patch,CNN full patch,0.4044581136588029,0.7348554077968168,0.9878982257781552,0.916041912358791,0.0202229056829401,0.0367427703898408,0.1026183978816324,0.4388015689606145,0.138755980861244,209
glucose,4,concentration_median,CNN full patch,0.1524039179289037,0.2249391885604525,0.998866098041262,0.9454545454545454,0.0076201958964451,0.0112469594280226,0.0575725967894992,0.1544792093854679,0.0909090909090909,11
glucose,5,patch,CNN full patch,0.4309318192788751,0.7431513323129378,0.9876234449275608,0.905636631110218,0.0215465909639437,0.0371575666156468,0.1159771785733338,0.4968184252696075,0.1291866028708134,209
glucose,5,concentration_median,CNN full patch,0.2091470740981966,0.3651585098355458,0.9970118106784776,0.9454545454545454,0.0104573537049098,0.0182579254917772,0.0689770066649782,0.2091470740981966,0.0,11
ketone,1,patch,CNN full patch,0.1473450820263949,0.3235743341638443,0.9908526840627816,0.948978518118975,0.0147345082026394,0.0323574334163844,0.0453127274121625,0.1977963433603326,0.23125,160
ketone,1,concentration_median,CNN full patch,0.0298604667023636,0.0400974981543105,0.999859531126643,0.9940297973880048,0.0029860466702363,0.004009749815431,0.0181874943967976,0.0385711187280488,0.375,8
ketone,2,patch,CNN full patch,0.1294355553775067,0.2205467307204134,0.995750412305461,0.9424142227099842,0.0129435555377506,0.0220546730720413,0.0601605903694845,0.2261705828008538,0.2894736842105263,152
ketone,2,concentration_median,CNN full patch,0.0373161707799747,0.061710231353897,0.9996672945644308,0.9940297973880048,0.0037316170779974,0.0061710231353897,0.0226236215348098,0.1354992952824434,0.375,8
ketone,3,patch,CNN full patch,0.1720831867083364,0.3967012314516091,0.9862509514904276,0.9573707135450088,0.0172083186708336,0.0396701231451609,0.046187418598825,0.2109287668918183,0.2763157894736842,152
ketone,3,concentration_median,CNN full patch,0.035261169667793,0.0486251357718121,0.9997934300230964,0.9940297973880048,0.0035261169667793,0.0048625135771812,0.0183005579703038,0.0431285319840515,0.25,8
ketone,4,patch,CNN full patch,0.1483707368551577,0.3387383385804744,0.9899752337882324,0.9690801617088726,0.0148370736855157,0.0338738338580474,0.0490342998580369,0.35522921755838,0.2105263157894736,152
ketone,4,concentration_median,CNN full patch,0.0855378391936835,0.1987826850369159,0.9965477467114506,1.0,0.0085537839193683,0.0198782685036915,0.0246876471438789,0.238810358696083,0.25,8
ketone,5,patch,CNN full patch,0.1381585702234321,0.3090334103562307,0.9916563435022852,0.9678085386610356,0.0138158570223432,0.030903341035623,0.0399229788718412,0.1831236491226786,0.1578947368421052,152
ketone,5,concentration_median,CNN full patch,0.0625449200398759,0.106984219147538,0.9990000345625322,1.0,0.0062544920039875,0.0106984219147538,0.0244500566725843,0.0625449200398759,0.0,8
