analyte,outer_fold,architecture,representation,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,tiny,g,raw,1,52,0.1992123987638589,2.4783868506168187,0.00025
glucose,1,tiny,g,raw,1,53,0.2001909343582211,2.2585491464461174,0.000125
glucose,1,tiny,g,raw,1,54,0.1915147116689971,2.3026744655898512,0.000125
glucose,1,tiny,g,raw,1,55,0.19677001978411818,2.300181467254579,0.000125
glucose,1,tiny,g,raw,1,56,0.1906254487507271,2.365328615410801,0.000125
glucose,1,tiny,g,raw,1,57,0.20121549891703056,2.331309462622922,0.000125
glucose,1,tiny,g,raw,1,58,0.19412991070386135,2.331368955816011,0.000125
glucose,1,tiny,g,raw,1,59,0.1954622082638018,2.336126659040475,0.000125
glucose,1,tiny,g,raw,1,60,0.18391254526196105,2.318241044409163,6.25e-05
glucose,1,tiny,hue_circular,raw,1,1,0.6087912200075207,5.766316946095248,0.001
glucose,1,tiny,hue_circular,raw,1,2,0.2096111235293475,5.442708251920359,0.001
glucose,1,tiny,hue_circular,raw,1,3,0.1701844823179823,5.3752488982483255,0.001
glucose,1,tiny,hue_circular,raw,1,4,0.1419915273334041,5.0385370897556285,0.001
glucose,1,tiny,hue_circular,raw,1,5,0.13477674677516474,4.780178739484222,0.001
glucose,1,tiny,hue_circular,raw,1,6,0.12236053758498394,4.340780025389843,0.001
glucose,1,tiny,hue_circular,raw,1,7,0.10549244569106535,4.05695792501315,0.001
glucose,1,tiny,hue_circular,raw,1,8,0.07270292017721769,3.772722663151759,0.001
glucose,1,tiny,hue_circular,raw,1,9,0.07549444531852549,2.47416099710263,0.001
glucose,1,tiny,hue_circular,raw,1,10,0.07714743988983559,1.8845677360908064,0.001
glucose,1,tiny,hue_circular,raw,1,11,0.06278615816863198,1.635365907808179,0.001
glucose,1,tiny,hue_circular,raw,1,12,0.05772444885788542,1.707110111517556,0.001
glucose,1,tiny,hue_circular,raw,1,13,0.05682568929412148,2.28733285086648,0.001
glucose,1,tiny,hue_circular,raw,1,14,0.06341168817245599,0.8478769168195001,0.001
glucose,1,tiny,hue_circular,raw,1,15,0.07013730770259193,1.0469793490708506,0.001
glucose,1,tiny,hue_circular,raw,1,16,0.06756245308753216,1.199905077787465,0.001
glucose,1,tiny,hue_circular,raw,1,17,0.05012319413098422,2.053319754974208,0.001
glucose,1,tiny,hue_circular,raw,1,18,0.056333899904381146,1.7154909584415186,0.001
glucose,1,tiny,hue_circular,raw,1,19,0.07707196618571426,1.1662682764735253,0.001
glucose,1,tiny,hue_circular,raw,1,20,0.05217377237524047,0.7888784201298921,0.001
glucose,1,tiny,hue_circular,raw,1,21,0.06274184327233921,1.1149317724833525,0.001
glucose,1,tiny,hue_circular,raw,1,22,0.046321287976972984,1.3366311976527507,0.001
glucose,1,tiny,hue_circular,raw,1,23,0.0462761456767718,1.2221211887773944,0.001
glucose,1,tiny,hue_circular,raw,1,24,0.046701379808964154,1.146452681975578,0.001
glucose,1,tiny,hue_circular,raw,1,25,0.04750290104385578,0.8194176841279815,0.001
glucose,1,tiny,hue_circular,raw,1,26,0.04414709535512057,0.6508126142545249,0.001
glucose,1,tiny,hue_circular,raw,1,27,0.04555516695660172,1.4017102078291757,0.001
glucose,1,tiny,hue_circular,raw,1,28,0.05054481696676124,1.0434237749880277,0.001
glucose,1,tiny,hue_circular,raw,1,29,0.05294315178285946,0.6716481547596855,0.001
glucose,1,tiny,hue_circular,raw,1,30,0.05356480723077601,0.7834358301652053,0.001
glucose,1,tiny,hue_circular,raw,1,31,0.07139881352583567,1.5705672122101055,0.001
glucose,1,tiny,hue_circular,raw,1,32,0.08688966739132549,1.2057924235202546,0.001
glucose,1,tiny,hue_circular,raw,1,33,0.06005021938771912,1.3671297493383685,0.001
glucose,1,tiny,hue_circular,raw,1,34,0.05650996154907978,0.7241839187023447,0.0005
glucose,1,tiny,hue_circular,raw,1,35,0.04112240807576613,1.2747581586427847,0.0005
glucose,1,tiny,hue_circular,raw,1,36,0.05681817269686497,0.9879784462044294,0.0005
glucose,1,tiny,hue_circular,raw,1,37,0.04952664156303261,1.0806205050920215,0.0005
glucose,1,tiny,hue_circular,raw,1,38,0.05682812893029415,1.032732406080329,0.0005
glucose,1,tiny,hue_circular,raw,1,39,0.0608075888319449,0.6212857944716403,0.0005
glucose,1,tiny,hue_circular,raw,1,40,0.04374533133073286,0.9527927491155801,0.0005
glucose,1,tiny,hue_circular,raw,1,41,0.05188047179218495,0.6079718932010357,0.0005
glucose,1,tiny,hue_circular,raw,1,42,0.049806915765458884,0.6663885431377353,0.0005
glucose,1,tiny,hue_circular,raw,1,43,0.03596156826525024,0.78055800571784,0.0005
glucose,1,tiny,hue_circular,raw,1,44,0.04134005457162857,0.9085389878179736,0.0005
glucose,1,tiny,hue_circular,raw,1,45,0.04528615449865659,0.6466663925599504,0.0005
glucose,1,tiny,hue_circular,raw,1,46,0.04696709994565357,0.7035093615977107,0.0005
glucose,1,tiny,hue_circular,raw,1,47,0.042474011264064096,0.8973265371128705,0.0005
glucose,1,tiny,hue_circular,raw,1,48,0.045328139423420934,0.6460191744546866,0.0005
glucose,1,tiny,hue_circular,raw,1,49,0.03885562382638454,0.6406402986319734,0.00025
glucose,1,tiny,hue_circular,raw,1,50,0.042364372437198955,0.612570329247885,0.00025
glucose,1,tiny,hue_circular,raw,1,51,0.03727265726210493,0.6071675127988823,0.00025
glucose,1,tiny,hue_circular,raw,1,52,0.041950602332750955,0.5832675605626435,0.00025
glucose,1,tiny,hue_circular,raw,1,53,0.040833841715798236,0.6208191576757851,0.00025
glucose,1,tiny,hue_circular,raw,1,54,0.038327497142282396,0.6021698269349847,0.00025
glucose,1,tiny,hue_circular,raw,1,55,0.03756791866864219,0.7595513264759796,0.00025
glucose,1,tiny,hue_circular,raw,1,56,0.036215292752692196,0.5968942092833971,0.00025
glucose,1,tiny,hue_circular,raw,1,57,0.043442826560049344,0.6609307376739454,0.00025
glucose,1,tiny,hue_circular,raw,1,58,0.041266116748253506,0.6718496329018516,0.00025
glucose,1,tiny,hue_circular,raw,1,59,0.03913314918225462,0.5905864734893508,0.00025
glucose,1,tiny,hue_circular,raw,1,60,0.039179689956433845,0.5889206970063557,0.000125
glucose,1,tiny,hue_circular,raw,1,61,0.03978079975102887,0.6224820387268176,0.000125
glucose,1,tiny,hue_circular,raw,1,62,0.03510959636081349,0.638256207441874,0.000125
glucose,1,tiny,hue_circular,raw,1,63,0.04089276987043294,0.6531985660134861,0.000125
