mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,unclipped_mae,clipped_fraction,analyte,architecture,representation,model,outer_fold,target_transform,best_epoch,epochs_run,training_seconds,validation_mae,parameter_count,model_size_bytes,evaluation_unit,n_observations
2.3104171218317533,3.614222404433714,0.7072647613633046,0.7582734963572401,0.11552085609158766,0.1807111202216857,2.3201964032313396,0.09569377990430622,glucose,tiny,g,TinyColorCNN,2,raw,49,64,7.716961300000548,2.0926319781920615,168617,685951,patch,209
1.4217082129685843,2.235057994797687,0.8880503215761658,0.8909090909090911,0.07108541064842921,0.11175289973988436,1.4217082129685843,0.0,glucose,tiny,g,TinyColorCNN,2,raw,49,64,7.716961300000548,2.0926319781920615,168617,685951,concentration_median,11
0.6102793330280246,1.250352121569025,0.9649643702699257,0.907044494901002,0.03051396665140123,0.06251760607845125,0.6349692785204591,0.10047846889952153,glucose,tiny,hue_circular,TinyColorCNN,2,raw,34,49,5.810740599990822,0.591253462789813,168833,687274,patch,209
0.3472507599317322,0.47189115671342674,0.9950096738026892,0.9454545454545454,0.01736253799658661,0.023594557835671336,0.3472507599317322,0.0,glucose,tiny,hue_circular,TinyColorCNN,2,raw,34,49,5.810740599990822,0.591253462789813,168833,687274,concentration_median,11
0.6316416501530878,1.1057422493143347,0.9725998421375074,0.8984381408070873,0.03158208250765439,0.055287112465716735,0.7167770994194274,0.22488038277511962,glucose,lite,rgb,ColorLiteCNN,2,raw,19,34,8.060035099973902,0.5421904940025383,7945,55069,patch,209
0.2630821728627477,0.4007863791314676,0.9964002597496071,0.9202757361079746,0.013154108643137385,0.02003931895657338,0.2915369404029818,0.18181818181818182,glucose,lite,rgb,ColorLiteCNN,2,raw,19,34,8.060035099973902,0.5421904940025383,7945,55069,concentration_median,11
0.49371287424440474,1.000720239693819,0.9775575314998953,0.9122925649774678,0.024685643712220238,0.05003601198469095,0.5275612581906325,0.20574162679425836,glucose,tiny,rgb,TinyColorCNN,3,raw,75,90,11.284655700030271,0.47139500424734737,169049,687809,patch,209
0.29107183747451204,0.45170516309908076,0.9954274826022372,0.9430548384868849,0.014553591873725602,0.02258525815495404,0.3017353745984929,0.18181818181818182,glucose,tiny,rgb,TinyColorCNN,3,raw,75,90,11.284655700030271,0.47139500424734737,169049,687809,concentration_median,11
1.9699800423341443,3.086951886274054,0.7864473434535926,0.7809229335719328,0.09849900211670722,0.1543475943137027,2.005980273993445,0.09090909090909091,glucose,tiny,g,TinyColorCNN,3,raw,52,67,7.841950900037773,2.200200805205826,168617,685951,patch,209
1.3474667021055813,2.2056852475707607,0.8909734337975624,0.8727272727272729,0.06737333510527907,0.11028426237853803,1.3474667021055813,0.0,glucose,tiny,g,TinyColorCNN,3,raw,52,67,7.841950900037773,2.200200805205826,168617,685951,concentration_median,11
0.5733049447979859,1.158809847331581,0.9699067140820932,0.9002064693193207,0.028665247239899293,0.057940492366579055,0.6350675210114181,0.24880382775119617,glucose,tiny,hue_circular,TinyColorCNN,3,raw,25,40,4.736837600008585,0.6220742963380519,168833,687274,patch,209
0.3754631517854187,0.5651157111829014,0.9928431812206958,0.9430548384868849,0.018773157589270936,0.02825578555914507,0.3976909886799642,0.18181818181818182,glucose,tiny,hue_circular,TinyColorCNN,3,raw,25,40,4.736837600008585,0.6220742963380519,168833,687274,concentration_median,11
0.5622970820055203,1.059023705406881,0.9748662888096993,0.8918505758246659,0.028114854100276015,0.05295118527034405,0.6109978946275566,0.11004784688995216,glucose,lite,rgb,ColorLiteCNN,3,raw,58,73,11.439287399989553,0.562940366100162,7945,55069,patch,209
0.3162510271544842,0.45757045364820037,0.9953079654234569,0.9272727272727275,0.015812551357724212,0.02287852268241002,0.3162510271544842,0.0,glucose,lite,rgb,ColorLiteCNN,3,raw,58,73,11.439287399989553,0.562940366100162,7945,55069,concentration_median,11
0.4905627089945715,0.9242358257624032,0.9808569622847214,0.8952794086592373,0.024528135449728573,0.046211791288120155,0.5322081834530202,0.22488038277511962,glucose,tiny,rgb,TinyColorCNN,4,raw,75,90,10.918690400023479,0.4915925120411044,169049,687809,patch,209
0.2822820949020598,0.4056620323531303,0.9963121437733814,0.926644502314687,0.01411410474510299,0.020283101617656514,0.299018701855375,0.2727272727272727,glucose,tiny,rgb,TinyColorCNN,4,raw,75,90,10.918690400023479,0.4915925120411044,169049,687809,concentration_median,11
2.5115828381753174,3.7338589632425476,0.6875639947297579,0.7247143526765786,0.12557914190876587,0.1866929481621274,2.5834522769386514,0.028708133971291867,glucose,tiny,g,TinyColorCNN,4,raw,9,24,2.6958551999996416,2.4069919490762075,168617,685951,patch,209
1.8613084578060153,2.639165173862804,0.8439088067717689,0.8545454545454546,0.09306542289030076,0.1319582586931402,1.8613084578060153,0.0,glucose,tiny,g,TinyColorCNN,4,raw,9,24,2.6958551999996416,2.4069919490762075,168617,685951,concentration_median,11
0.5791851150343157,1.0861871877318041,0.9735604165510963,0.9287681851542504,0.028959255751715783,0.054309359386590206,0.593895937432253,0.1291866028708134,glucose,tiny,hue_circular,TinyColorCNN,4,raw,61,76,9.328748399973847,0.5742217742923816,168833,687274,patch,209
0.46138976519613695,0.7994308696348859,0.9856778873326857,0.9430548384868849,0.02306948825980685,0.039971543481744296,0.4667159331952418,0.18181818181818182,glucose,tiny,hue_circular,TinyColorCNN,4,raw,61,76,9.328748399973847,0.5742217742923816,168833,687274,concentration_median,11
0.5529234454348153,0.9202406073342518,0.9810221048003862,0.8962641959036602,0.027646172271740765,0.04601203036671259,0.5884986422052146,0.215311004784689,glucose,lite,rgb,ColorLiteCNN,4,raw,46,61,10.012477500014938,0.5734171651206061,7945,55069,patch,209
0.3687088674531294,0.4885951387867934,0.9946501261605505,0.9339431975353206,0.01843544337265647,0.02442975693933967,0.3838202121811737,0.18181818181818182,glucose,lite,rgb,ColorLiteCNN,4,raw,46,61,10.012477500014938,0.5734171651206061,7945,55069,concentration_median,11
0.5701203013510298,0.9612564108115185,0.9792926866399099,0.8838614531945909,0.028506015067551488,0.04806282054057592,0.6844709749720866,0.2727272727272727,glucose,tiny,rgb,TinyColorCNN,5,raw,21,36,4.619652999972459,0.669159718185517,169049,687809,patch,209
0.24841022754733003,0.3332268686981996,0.9975115708424149,0.926644502314687,0.012420511377366501,0.01666134343490998,0.31845979641808725,0.36363636363636365,glucose,tiny,rgb,TinyColorCNN,5,raw,21,36,4.619652999972459,0.669159718185517,169049,687809,concentration_median,11
2.3092779548173183,3.6272447163785295,0.7051514673882847,0.7528400165156097,0.11546389774086592,0.18136223581892646,2.3505383620379976,0.12440191387559808,glucose,tiny,g,TinyColorCNN,5,raw,17,32,3.9477131000021473,2.4441037719613963,168617,685951,patch,209
1.5557034034938015,2.439795111081746,0.8666011853184338,0.8545454545454546,0.07778517017469008,0.12198975555408731,1.5588112682537605,0.09090909090909091,glucose,tiny,g,TinyColorCNN,5,raw,17,32,3.9477131000021473,2.4441037719613963,168617,685951,concentration_median,11
0.5310797598192699,0.9839227183650645,0.9783046213668424,0.9071252155712737,0.026553987990963496,0.049196135918253225,0.5571613056180329,0.0430622009569378,glucose,tiny,hue_circular,TinyColorCNN,5,raw,46,61,7.460337300028186,0.6650083083872217,168833,687274,patch,209
0.3980721545375655,0.5801961939250007,0.9924561158874898,0.9454545454545454,0.019903607726878277,0.029009809696250034,0.3980721545375655,0.0,glucose,tiny,hue_circular,TinyColorCNN,5,raw,46,61,7.460337300028186,0.6650083083872217,168833,687274,concentration_median,11
0.5463354637229035,0.9233319253565768,0.9808943876641236,0.8954399612483707,0.027316773186145178,0.04616659626782884,0.6134577488818895,0.18660287081339713,glucose,lite,rgb,ColorLiteCNN,5,raw,73,88,14.220562500006054,0.6314294785414044,7945,55069,patch,209
0.3079064886942613,0.4289768863603918,0.9958760533101392,0.9090909090909091,0.015395324434713064,0.021448844318019588,0.3079064886942613,0.0,glucose,lite,rgb,ColorLiteCNN,5,raw,73,88,14.220562500006054,0.6314294785414044,7945,55069,concentration_median,11
0.22416309733080197,0.42302824217728985,0.9843654900810286,0.909864159215067,0.022416309733080196,0.04230282421772898,0.26588485027539976,0.20625,ketone,tiny,rgb,TinyColorCNN,1,raw,15,30,2.8837375000002794,0.185036506349,169049,687712,patch,160
0.06550120678764987,0.10631707266762715,0.99901246711302,0.9761904761904763,0.0065501206787649865,0.010631707266762715,0.09442135442246294,0.25,ketone,tiny,rgb,TinyColorCNN,1,raw,15,30,2.8837375000002794,0.185036506349,169049,687712,concentration_median,8
0.5471956608726241,1.224238026937975,0.8690585102701334,0.8888113561022889,0.0547195660872624,0.12242380269379749,0.6099525872214598,0.2875,ketone,tiny,g,TinyColorCNN,1,raw,45,60,4.985261699999683,0.5088689159643947,168617,685918,patch,160
0.18189209968618208,0.2556720055809817,0.9942890033761476,0.9761904761904763,0.018189209968618208,0.02556720055809817,0.1943580795482291,0.125,ketone,tiny,g,TinyColorCNN,1,raw,45,60,4.985261699999683,0.5088689159643947,168617,685918,concentration_median,8
0.20094490154922492,0.39049451791653905,0.986677815941646,0.9275902506981656,0.02009449015492249,0.03904945179165391,0.2140183664903222,0.18125,ketone,tiny,hue_circular,TinyColorCNN,1,raw,48,63,5.501627399993595,0.1857585653011591,168833,687241,patch,160
0.04921508924396173,0.08492043989670821,0.9993699572515334,1.0,0.004921508924396173,0.00849204398967082,0.05135637266914095,0.125,ketone,tiny,hue_circular,TinyColorCNN,1,raw,48,63,5.501627399993595,0.1857585653011591,168833,687241,concentration_median,8
0.1845553930063469,0.3378263419587958,0.9900291411525722,0.8926620574613048,0.01845553930063469,0.03378263419587958,0.24258932061589475,0.3,ketone,lite,rgb,ColorLiteCNN,1,raw,63,78,10.637964400055353,0.16236524891550458,7945,54943,patch,160
0.044145758244343,0.06283268724887653,0.9996550812406353,0.9761904761904763,0.0044145758244343,0.006283268724887653,0.04627881743127604,0.375,ketone,lite,rgb,ColorLiteCNN,1,raw,63,78,10.637964400055353,0.16236524891550458,7945,54943,concentration_median,8
0.17254795406982756,0.2752028960284266,0.9933831460845342,0.8913454057987362,0.017254795406982756,0.02752028960284266,0.19723598483837002,0.19078947368421054,ketone,tiny,rgb,TinyColorCNN,2,raw,32,47,4.281365700007882,0.21938044629366174,169049,687712,patch,152
0.10430841384083234,0.14717019711519197,0.9981077204753902,0.9523809523809524,0.010430841384083234,0.014717019711519197,0.10430841384083234,0.0,ketone,tiny,rgb,TinyColorCNN,2,raw,32,47,4.281365700007882,0.21938044629366174,169049,687712,concentration_median,8
0.57004668847704,1.101056076026865,0.8940833045065842,0.9115184753584522,0.057004668847704,0.1101056076026865,0.6111233038224838,0.3223684210526316,ketone,tiny,g,TinyColorCNN,2,raw,21,36,3.095740799966734,0.5787064897608358,168617,685918,patch,152
0.4433423659674533,0.6933552224469652,0.9579992419202982,0.9700772721497397,0.04433423659674533,0.06933552224469652,0.465796398546699,0.25,ketone,tiny,g,TinyColorCNN,2,raw,21,36,3.095740799966734,0.5787064897608358,168617,685918,concentration_median,8
0.15100208947823576,0.28029918200498505,0.9931358113988181,0.9376251802257444,0.015100208947823577,0.028029918200498504,0.2211696908321137,0.2894736842105263,ketone,tiny,hue_circular,TinyColorCNN,2,raw,42,57,5.196225500025321,0.19095390925661557,168833,687241,patch,152
0.042018218267032385,0.07318108121033001,0.9995321106173173,0.9940297973880048,0.0042018218267032385,0.007318108121033002,0.0987881434548254,0.375,ketone,tiny,hue_circular,TinyColorCNN,2,raw,42,57,5.196225500025321,0.19095390925661557,168833,687241,concentration_median,8
0.17595979025580838,0.31380350734905815,0.9913967779211815,0.8533413076965263,0.017595979025580837,0.03138035073490582,0.22796364157908455,0.2565789473684211,ketone,lite,rgb,ColorLiteCNN,2,raw,35,50,7.139122600026894,0.21097186236437931,7945,54943,patch,152
